=== ЛОГ-ОТЧЕТ СКАЛА / ДРЕГ [2026-08-22_04-05-25] ===
[04:05:26.547] [ДРЕГ-ЭТАП 3] ID 288: проверка потока
[04:05:26.549] [ДРЕГ-ЭТАП 3] ID 289: проверка потока
[04:05:26.561] [ДРЕГ-ЭТАП 3] ID 290: проверка потока
[04:05:26.563] [ДРЕГ-ЭТАП 3] ID 291: проверка потока
[04:05:26.565] [ДРЕГ-ЭТАП 3] ID 292: проверка потока
[04:05:26.566] [ДРЕГ-ЭТАП 3] ID 293: проверка потока
[04:05:26.566] [ДРЕГ-ЭТАП 3] ID 294: проверка потока
[04:05:26.582] [ДРЕГ-ЭТАП 3] ID 295: проверка потока
[04:05:26.584] [ДРЕГ-ЭТАП 3] ID 296: проверка потока
[04:05:26.586] [ДРЕГ-ЭТАП 3] ID 297: проверка потока
[04:05:26.587] [ДРЕГ-ЭТАП 3] ID 298: проверка потока
[04:05:26.590] [ДРЕГ-ЭТАП 3] ID 299: проверка потока
[04:05:26.593] [ДРЕГ-ЭТАП 3] ID 300: проверка потока
[04:05:26.597] [ДРЕГ-ЭТАП 3] ID 301: проверка потока
[04:05:26.601] [ДРЕГ-ЭТАП 3] ID 302: проверка потока
[04:05:26.601] [ДРЕГ-ЭТАП 3] ID 303: проверка потока
[04:05:26.605] [ДРЕГ-ЭТАП 3] ID 304: проверка потока
[04:05:26.607] [ДРЕГ-ЭТАП 3] ID 305: проверка потока
[04:05:26.615] [ДРЕГ-ЭТАП 3] ID 306: проверка потока
[04:05:26.619] [ДРЕГ-ЭТАП 3] ID 307: проверка потока
[04:05:26.622] [ДРЕГ-ЭТАП 3] ID 308: проверка потока
[04:05:26.627] [ДРЕГ-ЭТАП 3] ID 309: проверка потока
[04:05:26.628] [ДРЕГ-ЭТАП 3] ID 310: проверка потока
[04:05:26.629] [ДРЕГ-ЭТАП 3] ID 311: проверка потока
[04:05:26.631] [ДРЕГ-ЭТАП 3] ID 312: проверка потока
[04:05:26.631] [ДРЕГ-ЭТАП 3] ID 313: проверка потока
[04:05:26.638] [ДРЕГ-ЭТАП 3] ID 314: проверка потока
[04:05:26.646] [ДРЕГ-ЭТАП 3] ID 315: проверка потока
[04:05:26.647] [ДРЕГ-ЭТАП 3] ID 316: проверка потока
[04:05:26.653] [ДРЕГ-ЭТАП 3] ID 317: проверка потока
[04:05:26.656] [ДРЕГ-ЭТАП 3] ID 318: проверка потока
[04:05:26.658] [ДРЕГ-ЭТАП 3] ID 319: проверка потока
[04:05:26.667] [ДРЕГ-ЭТАП 3] ID 320: проверка потока
[04:05:26.668] [ДРЕГ-ЭТАП 3] ID 321: проверка потока
[04:05:26.672] [ДРЕГ-ЭТАП 3] ID 322: проверка потока
[04:05:26.674] [ДРЕГ-ЭТАП 3] ID 323: проверка потока
[04:05:26.675] [ДРЕГ-ЭТАП 3] ID 324: проверка потока
[04:05:26.676] [ДРЕГ-ЭТАП 3] ID 325: проверка потока
[04:05:26.678] [ДРЕГ-ЭТАП 3] ID 326: проверка потока
[04:05:26.681] [ДРЕГ-ЭТАП 3] ID 327: проверка потока
[04:05:26.689] [ДРЕГ-ЭТАП 3] ID 328: проверка потока
[04:05:26.692] [ДРЕГ-ЭТАП 3] ID 329: проверка потока
[04:05:26.695] [ДРЕГ-ЭТАП 3] ID 330: проверка потока
[04:05:26.699] [ДРЕГ-ЭТАП 3] ID 331: проверка потока
[04:05:26.699] [ДРЕГ-ЭТАП 3] ID 332: проверка потока
[04:05:26.708] [ДРЕГ-ЭТАП 3] ID 333: проверка потока
[04:05:26.710] [ДРЕГ-ЭТАП 3] ID 334: проверка потока
[04:05:26.712] [ДРЕГ-ЭТАП 3] ID 335: проверка потока
[04:05:26.713] [ДРЕГ-ЭТАП 3] ID 336: проверка потока
[04:05:26.715] [ДРЕГ-ЭТАП 3] ID 337: проверка потока
[04:05:26.723] [ДРЕГ-ЭТАП 3] ID 338: проверка потока
[04:05:26.725] [ДРЕГ-ЭТАП 3] ID 339: проверка потока
[04:05:26.733] [ДРЕГ-ЭТАП 3] ID 340: проверка потока
[04:05:26.736] [ДРЕГ-ЭТАП 3] ID 341: проверка потока
[04:05:26.739] [ДРЕГ-ЭТАП 3] ID 342: проверка потока
[04:05:26.740] [ДРЕГ-ЭТАП 3] ID 343: проверка потока
[04:05:26.742] [ДРЕГ-ЭТАП 3] ID 344: проверка потока
[04:05:26.743] [ДРЕГ-ЭТАП 3] ID 345: проверка потока
[04:05:26.744] [ДРЕГ-ЭТАП 3] ID 346: проверка потока
[04:05:26.748] [ДРЕГ-ЭТАП 3] ID 347: проверка потока
[04:05:26.764] [ДРЕГ-ЭТАП 3] ID 348: проверка потока
[04:05:26.765] [ДРЕГ-ЭТАП 3] ID 349: проверка потока
[04:05:26.768] [ДРЕГ-ЭТАП 3] ID 350: проверка потока
[04:05:26.769] [ДРЕГ-ЭТАП 3] ID 351: проверка потока
[04:05:26.770] [ДРЕГ-ЭТАП 3] ID 352: проверка потока
[04:05:26.772] [ДРЕГ-ЭТАП 3] ID 353: проверка потока
[04:05:26.779] [ДРЕГ-ЭТАП 3] ID 354: проверка потока
